#Flags,Grouping,Os,Values,Default,Conforming?,Description,Prerequisites,Implies
-fbranch-count-reg,O0,,,,,"When disabled, do not use “decrement and branch” instructions on a count register, but instead generate a sequence of instructions that decrement a register, compare it against zero then branch based upon the result.",,
-ffunction-cse,O0,,,,,When disabled do not put function addresses in registers; make each instruction that calls a constant function contain the function's address explicitly.,,
-fira-share-save-slots,O0,,,,,When disabled do not share stack slots used for saving call-used hard registers living through a call. Each hard register gets a separate stack slot and as a result function stack frames are longer,,
-fira-share-spill-slots,O0,,,,,When disabled do not share stack slows allocated for pseudo-register. Each pseudo-register that does not get a hard register gets a separate stack slot and as a result function stack frames are longer.,,
-fprefetch-loop-arrays,O0,NoOs,,,,"If supported by the target machine, generate instructions to prefetch memory to improve the performance of loops that access large arrays.",,
-ftree-vect-loop-version,O0,NoOs,,,,"Perform loop versioning when doing loop vectorization on trees. When a loop appears to be vectorizable except that data alignment or data dependence cannot be determined at compile time, then vectorized and non-vectorized versions of the loop are generated along with run-time checks for alignment or dependence to control which version is executed.",,
-funit-at-a-time,O0,,,,,This option is left for compatibility reasons. ,,
-fzero-initialized-in-bss,O0,,,,,When disabled variables are not put in BSS.,,
-fauto-inc-dec,O1,,,,,Combine increments or decrements of addresses with memory accesses. This pass is always skipped on architectures that do not have instructions to support this.,,
-fcombine-stack-adjustments,O1,,,,,Tracks stack adjustments (pushes and pops) and stack memory references and then tries to find ways to combine them.,,
-fcompare-elim,O1,,,,,"After register allocation and post-register allocation instruction splitting, identify arithmetic instructions that compute processor flags similar to a comparison operation based on that arithmetic. If possible, eliminate the explicit comparison operation.",,
-fcprop-registers,O1,,,,,"After register allocation and post-register allocation instruction splitting, we perform a copy-propagation pass to try to reduce scheduling dependencies and occasionally eliminate the copy.",,
-fdce,O1,,,,,Perform dead code elimination (DCE) on RTL.,,
-fdefer-pop,O1,,,,,,,
-fdelayed-branch,O1,,,,,"If supported for the target machine, attempt to reorder instructions to exploit instruction slots available after delayed branch instructions.",,
-fdse,O1,,,,,Perform dead store elimination (DSE) on RTL,,
-fguess-branch-probability,O1,,,,,"GCC will use heuristics to guess branch probabilities if they are not provided by profiling feedback (-fprofile-arcs). These heuristics are based on the control flow graph. If some branch probabilities are specified by `__builtin_expect', then the heuristics will be used to guess branch probabilities for the rest of the control flow graph, taking the `__builtin_expect' info into account. ",,
-fif-conversion,O1,,,,,"Attempt to transform conditional jumps into branch-less equivalents. This include use of conditional moves, min, max, set flags and abs instructions, and some tricks doable by standard arithmetics. The use of conditional execution on chips where it is available is controlled by if-conversion2.",,
-fif-conversion2,O1,,,,,Use conditional execution (where available) to transform conditional jumps into branch-less equivalents.,,
-finline-functions-called-once,O1,,,,,"Consider all static functions called once for inlining into their caller even if they are not marked inline. If a call to a given function is integrated, then the function is not output as assembler code in its own right.",,
-fipa-profile,O1,,,,,"Perform interprocedural profile propagation. The functions called only from cold functions are marked as cold. Also functions executed once (such as cold, noreturn, static constructors or destructors) are identified. Cold functions and loop less parts of functions executed once are then optimized for size.",,
-fipa-pure-const,O1,,,,,Discover which functions are pure or constant.,,
-fipa-reference,O1,,,,,Discover which static variables do not escape cannot escape the compilation unit.,,
-fmerge-constants,O1,,,,,Attempt to merge identical constants (string constants and floating-point constants) across compilation units.,,
-fmove-loop-invariants,O1,,,,,Enables the loop invariant motion pass in the RTL loop optimizer. ,,
-fomit-frame-pointer,O1,,,,,"Don't keep the frame pointer in a register for functions that don't need one. This avoids the instructions to save, set up and restore frame pointers; it also makes an extra register available in many functions. It also makes debugging impossible on some machines.",,
-fshrink-wrap,O1,,,,,"Emit function prologues only before parts of the function that need it, rather than at the top of the function",,
-fsplit-wide-types,O1,,,,,"When using a type that occupies multiple registers, such as long long on a 32-bit system, split the registers apart and allocate them independently. This normally generates better code for those types, but may make debugging more difficult.",,
